"Species","One epoch, log likelihood","One epoch, AIC","One epoch, theta","One epoch, Ancestral effective population size","Two epoch, log likelihood","Two epoch, AIC","Two epoch, nu","Two epoch, tau","Two epoch, time in years","Two epoch, theta","Two epoch, Ancestral effective population size","Two epoch, Current effective population size","Three epoch, log likelihood","Three epoch, AIC","Three epoch, nu (bottleneck)","Three epoch, nu (contemporary)","Three epoch, tau (bottleneck)","Three epoch, tau (contemporary)","Three epoch, time in years","Three epoch, theta","Three epoch, Ancestral effective population size","Three epoch, Current effective population size"
"Alistipes_finegoldii_56071",-163.437482899,328.874965798,3947.63471619,3947.63337089757,-35.2943699614,74.5887399228,0.3704592,0.4223459,38880.2857826428,7371.225398,16800570.7059837,6223925.98328215,-33.8594639401,75.7189278802,0.45171158,0.97860706,0.22391942,0.01219487,15739.8626267162,5337.73723923,12165824.1412483,11905561.395344
"Alistipes_onderdonkii_55464",-170.480198971,342.960397942,5855.17615313,5855.17415776602,-35.3212509142,74.6425018284,0.5754415,0.1847801,14308.3922193742,6993.46265354,14131833.3523783,8132043.38204261,-35.3355912713,78.6711825426,0.44838061,0.74587535,0.07882097,0.01175242,6837.22095768497,6817.66431171,13776594.0391268,10275621.9007416
"Alistipes_shahii_62199",-57.1542294303,116.3084588606,2908.98493408,2908.98394273701,-31.2729173668,66.5458347336,1054.48,0.02549789,902.319117644709,2753.87005836,6458308.47062873,6810157116.10858,-31.3336930705,70.667386141,8.02224734,19.418586,0.00518263253,0.0232485151,1004.49683695827,2749.42395044,6447881.56744852,125208742.735314
"Parabacteroides_distasonis_56985",-186.697705416,375.395410832,7828.99569818,7828.9930301712,-805.095629891,1614.191259782,1.8842002,0.3080025,23194.7392362667,6437.02269392,13743524.5188551,25895551.6471317,-35.5825486454,79.1650972908,0.00793288,0.03954428,0.02717677,0.00658135,80816.9418918967,204632.187844,436905014.120192,17277094.2117728
"Parabacteroides_merdae_56972",-65.6976480619,133.3952961238,4408.64433443,4408.64283203125,-33.2651074383,70.5302148766,0.3317844,0.759557,99976.9992961082,11380.093998,24021636.7850467,7970004.34774466,-33.1171248284,74.2342496568,0.32310202,0.85198442,0.02549173,0.07562582,5650.47863303156,4831.30906364,10198154.0348659,8688668.35046592
"Bacteroides_fragilis_54507",-318.690974377,639.381948754,4241.01183667,4241.01039139488,-32.7227374275,69.445474855,3.0227568,0.2000229,7003.37561202417,3411.03327806,6389848.6083064,19314958.3317287,-32.788311782,73.576623564,2.44931382,3.10021672,0.00831919,0.18658381,6838.19339197532,3418.07125082,6403032.76006781,19850789.22147
"Bacteroides_cellulosilyticus_58046",-309.164962421,620.329924842,7692.17470413,7692.17208274927,-35.1876573552,74.3753147104,5.014427,5.020835,108566.072768089,2021.85786887,3946217.76660181,19788020.9167278,-35.2535149108,78.5070298216,0.00087176,0.00732824,0.05725998,0.00795901,968277.831164841,1388220.21333,2709497712.0557,19855849.513395
"Bacteroides_stercoris_56735",-212.486974985,426.97394997,6483.23394535,6483.23173595728,-45.4661438129,94.9322876258,5.410953,6.133998,141079.85345961,1526.6258846,4197437.50428004,22712137.0560966,-45.6957489425,99.391497885,0.0053037,0.05782585,0.02399963,0.05953568,178847.48000319,142109.787005,390728963.603321,22594234.4399811
"Bacteroides_thetaiotaomicron_56941",-79.6252008003,161.2504016006,8701.24298481,8701.24001954704,-40.9758181092,85.9516362184,0.5350241,0.9307315,129934.943159867,14453.6682561,25477946.246233,13631315.2602392,-36.9945554221,81.9891108442,0.44209913,1.68507174,0.07330233,0.04151546,10605.207231529,9562.83164861,16856711.1399204,28404767.571223
"Bacteroides_caccae_53434",-60.6121829971,123.2243659942,3593.63789444,3593.63666977956,-31.787359657,67.574719314,1.967181,0.0664874,1996.14432642773,3376.04157182,5479178.6048644,10778536.0470957,-31.8067764179,71.6135528358,1.95833576,1.21179303,0.06694016,0.00481423,2153.3747366644,3374.6313292,5476889.83825592,6636856.93207635
"Bacteroides_vulgatus_57955",-48.1379913982,98.2759827964,1891.26610574,1891.26546122682,-29.9191331216,63.8382662432,308.1353213,0.02682263,836.338691422574,1786.16746783,5690411.83450765,1753416878.95534,-29.9554817092,67.9109634184,13.0588408,14.575684,0.00797533645,0.0221251866,936.712019004185,1782.68001357,5679301.42556987,82779702.919856
"Barnesiella_intestinihominis_62208",-83.5400583808,169.0801167616,7746.52109655,7746.5184566481,-40.0206038742,84.0412077484,0.37037132,0.01428386,1490.76246179653,8130.9033758,19046962.745215,7054448.73393611,-39.917965991,87.835931982,0.0328203489,1.06905799,0.000868026672,0.00734604042,858.346880799597,8141.05191133,19070736.0910763,20387722.7933465
"Akkermansia_muciniphila_55290",-133.469340132,268.938680264,4094.76127973,4094.75988429461,-32.5405741468,69.0811482936,0.2899706,0.4990958,103004.642643308,10388.6855381,37664807.6028766,10921686.8594907,-32.756629125,73.51325825,0.55658146,1.97678719,0.23408517,0.00202405,23906.254405833,5096.6675547,18478276.4055741,36527620.0918182
"Dialister_invisus_61905",-51.2768645297,104.5537290594,4624.73840338,4624.73682733415,-35.6303211164,75.2606422328,2587.158,0.01513256,2266.39324312545,4471.21218457,27332901.1661209,70714533915.1391,-35.6868613701,79.3737227402,8.76169599,16.6032188,0.00626528767,0.0109658577,2579.8004139206,4469.65888204,27323405.695376,453656483.121494
"Eubacterium_rectale_56927",-217.018656768,436.037313536,5291.33894831,5291.33714509291,-32.7769263958,69.5538527916,1.909778,0.7886008,87898.140942628,3766.09142907,20341611.0179315,38847961.2066032,-32.7843436202,73.5686872404,0.892814451,1.91983042,3.64845215,0.795758532,88362.5910553732,3751.76484566,20264229.52244,38903884.2750424
"Oscillibacter_sp_60799",-153.461973699,308.923947398,3547.08237563,3547.08116683075,-32.5348573248,69.0697146496,1.8842002,0.3080025,22214.5159027757,2916.42129199,13162715.0826911,24801190.3913496,-32.608400491,73.216800982,1.86779832,0.92489866,0.34711743,0.00205798,24905.8883837939,2884.2043929,13017310.2110552,12039692.7710093
"Ruminococcus_bromii_62047",-903.869843105,1809.73968621,4578.5549993,4578.55343899526,-31.8963074536,67.7926149072,4.0101847,0.5937197,49979.8449547731,2717.1245677,15363010.026863,61608507.7556726,-32.5355257912,73.0710515824,2.68642436,4.10844121,0.00578649,0.58071153,49290.458480584,2712.64156227,15337662.4744728,63013884.5751945
"Ruminococcus_bicirculans_59300",-1175.83138186,2353.66276372,9076.79635044,9076.79325719982,-34.4169879251,72.8339758502,6.259271,3.738228,171973.754829238,2347.51164834,8395745.32541511,52551245.2387564,-34.4577859874,76.9155719748,0.00233404,0.01403072,0.03636372,0.00829594,915617.960204156,1046189.26384,3741637928.66444,52497874.1184708
